cont_id,prod_name1,prod_name2,prod_name3,prod_name4,prod_name5
100000041,MAH JONG (1/2),SCENARIO,URBAN (TOSS CUSHIONS),OVNI,FABRIC
100000076,MAH JONG (1/2),SCENARIO,PREFACE,EOLE,MISTRAL
100000100,MAH JONG (1/2),SCENARIO,URBAN (TOSS CUSHIONS),OVNI,FABRIC
100000209,MAH JONG (1/2),CONNEXE,SATELLITE (NARROW ARMRESTS),SCENARIO,NUAGE 2
100000232,MAH JONG (1/2),SCENARIO,URBAN (TOSS CUSHIONS),OVNI,FABRIC
100000274,IRON TREE,SYMBOLE,TANGRAM,ASTORIA,AQUA
100000275,EPISODE,MAH JONG (1/2),FABRIC,FURTIF,GLOBE TROTTER COLLECTION - MARCEL WANDERS
100000357,TANGRAM,MAH JONG (1/2),DIGITAL,MISTRAL,CUTE CUT
100000365,MAH JONG (1/2),SCENARIO,EDITO,ELLICA BEDROOM,EDITO LOUNGE
100000381,MAH JONG (1/2),MAH JONG KENZO TAKADA - NO GAKU COLLECTION,EDITO,CUBA LIBRE 2,TOURNICOTI
