category1,category2,famille_intitule,sous_famille_intitule
A,A/COU,DECO COUSSINS,NULL
A,A/COU,DECO COUSSINS,.
A,A/COU,DECO COUSSINS,COUSSINS
A,A/DE,ACCESSORIES,DECORATIVE OBJECTS
A,A/RU,ACCESSORIES,RUGS
A,A/RU,DECO TAPIS,NULL
A,A/RU,DECO TAPIS,.
A,A/RU,DECO TAPIS,TAPIS
A,A/WA,ACCESSORIES,WALL DECORATION
B,B/BE,BEDDING,BED BASES
B,B/BE,BEDROOM,BEDS
B,B/BE,BEDS,BEDS
B,B/BE,COMPLEMENTARY PIECES,BEDSIDE TABLES
B,B/BE,MEUBLE CHAMBRE ADULTE,LIT
B,B/BE,MEUBLE CHAMBRE ADULTE,LITERIE
B,B/BE,MEUBLE GARNI CHAMBRE ADULTE,LIT
B,B/BE,MEUBLE MEUBLES DE COMPLE,BUREAU / SECRETAIRE
B,B/BE,MEUBLE MEUBLES DE COMPLE,MEUBLE INFORMATIQUE
B,B/BE,OFFICES,NULL
B,B/BE,OFFICES,BOXES
B,B/BE,OFFICES,COMPUTER UNITS
B,B/BE,OFFICES,DESKS
B,B/BE,OFFICES,MISCELLANEOUS
B,B/BE,OFFICES,SECRETARIES
B,B/BE,OFFICES,STORAGE UNITS
B,B/BE,OFFICES,WRITING TABLES
B,B/BE-ACC,BEDDING,MATTRESSES
B,B/BE-ACC,BEDROOM,MATTRESSES
B,B/BE-ACC,BEDS,HEADBOARDS
B,B/DR,ADDTIONAL FURNITURE,CHESTS OF DRAWERS
B,B/DR,COMPLEMENTARY PIECES,CHESTS
B,B/DR,COMPLEMENTARY PIECES,CHESTS OF 7 DRAWERS
B,B/DR,COMPLEMENTARY PIECES,CHESTS OF DRAWERS
B,B/DR,STORAGE FURNITURE,DRESSER
B,B/DR,STORAGE FURNITURE,SIDEBOARDS
B,B/DR,STORAGE UNITS,DRESSERS
B,B/DR,STORAGE UNITS,SIDEBOARDS
B,B/LI,ACCESSORIES,LIGHTING
B,B/LI,DECO LUMINAIRES,NULL
B,B/LI,DECO LUMINAIRES,.
B,B/NI,ADDTIONAL FURNITURE,NIGHTSTANDS
D,D/BAR,MEUBLE GARNI MEUBLES DE COMPLE,BAR
D,D/BAR,MEUBLE MEUBLES DE COMPLE,BAR
D,D/BAR,STORAGE FURNITURE,BARS
D,D/BAR,STORAGE UNITS,BARS
D,D/CH,ADDTIONAL FURNITURE,SMALL STOOLS
D,D/CH,CHAIRS,NULL
D,D/CH,CHAIRS,BENCHES
D,D/CH,CHAIRS,BRIDGES
D,D/CH,CHAIRS,CHAIR COMPLEMENTARY UNIT
D,D/CH,CHAIRS,CHAIRS
D,D/CH,CHAIRS,COMPLEMENT DE CHAISE
